,N,Affinity,Linkage,Covariance_Type,Time
311,80,euclidean,single,spherical,1.1352486610412598
312,160,euclidean,single,spherical,1.6304264068603516
313,320,euclidean,single,spherical,2.414220094680786
314,640,euclidean,single,spherical,3.7622785568237305
315,1280,euclidean,single,spherical,7.282076120376587
316,2560,euclidean,single,spherical,14.677042961120605
317,5120,euclidean,single,spherical,30.86332869529724
318,10240,euclidean,single,spherical,83.42264795303345
319,20480,euclidean,single,spherical,237.0429241657257
320,40,cosine,complete,full,1.5050787925720215
321,80,cosine,complete,full,2.0646486282348633
322,160,cosine,complete,full,1.656684160232544
323,320,cosine,complete,full,1.1245760917663574
324,640,cosine,complete,full,1.562648057937622
325,1280,cosine,complete,full,2.3509178161621094
326,2560,cosine,complete,full,5.497041702270508
327,5120,cosine,complete,full,18.123879194259644
328,10240,cosine,complete,full,68.98878216743469
329,20480,cosine,complete,full,295.7183859348297
330,40,cosine,complete,tied,1.3928132057189941
331,80,cosine,complete,tied,1.8906831741333008
332,160,cosine,complete,tied,1.716916561126709
333,320,cosine,complete,tied,2.5159621238708496
334,640,cosine,complete,tied,2.9682276248931885
335,1280,cosine,complete,tied,7.48663067817688
336,2560,cosine,complete,tied,13.576759338378906
337,5120,cosine,complete,tied,33.55096411705017
338,10240,cosine,complete,tied,73.93340969085693
339,20480,cosine,complete,tied,303.58887457847595
340,40,cosine,complete,diag,0.7832794189453125
341,80,cosine,complete,diag,1.2677998542785645
342,160,cosine,complete,diag,1.0465242862701416
343,320,cosine,complete,diag,0.49892330169677734
344,640,cosine,complete,diag,1.0157032012939453
345,1280,cosine,complete,diag,1.711308240890503
346,2560,cosine,complete,diag,4.970275640487671
347,5120,cosine,complete,diag,17.78716540336609
348,10240,cosine,complete,diag,67.79637050628662
349,20480,cosine,complete,diag,293.4193558692932
350,40,cosine,complete,spherical,1.0235061645507812
351,80,cosine,complete,spherical,1.3285048007965088
352,160,cosine,complete,spherical,1.3324575424194336
353,320,cosine,complete,spherical,2.0524795055389404
354,640,cosine,complete,spherical,0.7946698665618896
355,1280,cosine,complete,spherical,4.848916053771973
356,2560,cosine,complete,spherical,4.7893385887146
