,N,Affinity,Linkage,Covariance_Type,Time
332,163840,euclidean,complete,full,9.357866287231445
333,327680,euclidean,complete,full,18.9689838886261
334,655360,euclidean,complete,full,41.866891384124756
335,1310720,euclidean,complete,full,77.62269330024719
336,40,euclidean,complete,tied,0.05086374282836914
337,80,euclidean,complete,tied,0.04285264015197754
338,160,euclidean,complete,tied,0.05189108848571777
339,320,euclidean,complete,tied,0.06084251403808594
340,640,euclidean,complete,tied,0.10794663429260254
341,1280,euclidean,complete,tied,0.278226375579834
342,2560,euclidean,complete,tied,0.5518743991851807
343,5120,euclidean,complete,tied,0.6537034511566162
344,10240,euclidean,complete,tied,0.9166455268859863
345,20480,euclidean,complete,tied,1.3590331077575684
346,40960,euclidean,complete,tied,2.6631739139556885
347,81920,euclidean,complete,tied,4.890922784805298
348,163840,euclidean,complete,tied,10.44483494758606
349,327680,euclidean,complete,tied,22.013177156448364
350,655360,euclidean,complete,tied,33.96307969093323
351,1310720,euclidean,complete,tied,67.89893865585327
352,40,euclidean,complete,diag,0.03355240821838379
353,80,euclidean,complete,diag,0.04189348220825195
354,160,euclidean,complete,diag,0.04886889457702637
355,320,euclidean,complete,diag,0.05787396430969238
356,640,euclidean,complete,diag,0.08666062355041504
357,1280,euclidean,complete,diag,0.2446460723876953
358,2560,euclidean,complete,diag,0.5258054733276367
359,5120,euclidean,complete,diag,0.6413235664367676
360,10240,euclidean,complete,diag,0.8526906967163086
361,20480,euclidean,complete,diag,1.2395718097686768
362,40960,euclidean,complete,diag,2.3621253967285156
363,81920,euclidean,complete,diag,10.877088069915771
364,163840,euclidean,complete,diag,7.784015655517578
365,327680,euclidean,complete,diag,18.179828643798828
366,655360,euclidean,complete,diag,34.34884428977966
367,1310720,euclidean,complete,diag,73.7273519039154
368,40,euclidean,complete,spherical,0.047681331634521484
369,80,euclidean,complete,spherical,0.05884146690368652
370,160,euclidean,complete,spherical,0.05089449882507324
371,320,euclidean,complete,spherical,0.07081079483032227
372,640,euclidean,complete,spherical,0.12674903869628906
373,1280,euclidean,complete,spherical,0.26845288276672363
374,2560,euclidean,complete,spherical,0.550203800201416
375,5120,euclidean,complete,spherical,0.6339397430419922
376,10240,euclidean,complete,spherical,2.1150410175323486
377,20480,euclidean,complete,spherical,2.9909133911132812
378,40960,euclidean,complete,spherical,2.2693071365356445
379,81920,euclidean,complete,spherical,4.430702447891235
380,163840,euclidean,complete,spherical,8.747231006622314
381,327680,euclidean,complete,spherical,17.500250577926636
382,655360,euclidean,complete,spherical,35.49123406410217
383,1310720,euclidean,complete,spherical,61.77897787094116
384,40,euclidean,average,full,0.08475208282470703
385,80,euclidean,average,full,0.06012463569641113
386,160,euclidean,average,full,0.06183600425720215
387,320,euclidean,average,full,0.07280707359313965
388,640,euclidean,average,full,0.2903728485107422
389,1280,euclidean,average,full,0.2651059627532959
390,2560,euclidean,average,full,1.0438287258148193
391,5120,euclidean,average,full,1.5976457595825195
392,10240,euclidean,average,full,1.5655436515808105
393,20480,euclidean,average,full,2.9723849296569824
394,40960,euclidean,average,full,9.746533155441284
395,81920,euclidean,average,full,21.378050565719604
396,163840,euclidean,average,full,23.319995641708374
397,327680,euclidean,average,full,98.19519758224487
398,655360,euclidean,average,full,73.42979764938354
399,1310720,euclidean,average,full,90.86544275283813
400,40,euclidean,average,tied,0.07026362419128418
401,80,euclidean,average,tied,0.0358738899230957
402,160,euclidean,average,tied,0.12318277359008789
403,320,euclidean,average,tied,0.11906862258911133
404,640,euclidean,average,tied,0.28136658668518066
405,1280,euclidean,average,tied,0.5180771350860596
406,2560,euclidean,average,tied,0.847048282623291
407,5120,euclidean,average,tied,1.6211581230163574
408,10240,euclidean,average,tied,2.7752604484558105
409,20480,euclidean,average,tied,3.3797013759613037
410,40960,euclidean,average,tied,6.895454168319702
411,81920,euclidean,average,tied,14.091488122940063
412,163840,euclidean,average,tied,22.255022764205933
413,327680,euclidean,average,tied,45.988648414611816
414,655360,euclidean,average,tied,92.25902009010315
415,1310720,euclidean,average,tied,70.87008142471313
416,40,euclidean,average,diag,0.0690300464630127
417,80,euclidean,average,diag,0.03194594383239746
418,160,euclidean,average,diag,0.05189704895019531
419,320,euclidean,average,diag,0.05791759490966797
420,640,euclidean,average,diag,0.2727470397949219
421,1280,euclidean,average,diag,0.21995210647583008
422,2560,euclidean,average,diag,0.8020029067993164
423,5120,euclidean,average,diag,1.0322725772857666
424,10240,euclidean,average,diag,2.6302618980407715
425,20480,euclidean,average,diag,3.3455379009246826
426,40960,euclidean,average,diag,10.400761127471924
427,81920,euclidean,average,diag,13.3983633518219
428,163840,euclidean,average,diag,37.60293889045715
429,327680,euclidean,average,diag,80.41022109985352
430,655360,euclidean,average,diag,167.79418444633484
431,1310720,euclidean,average,diag,311.14133977890015
432,40,euclidean,average,spherical,0.06738638877868652
433,80,euclidean,average,spherical,0.03587460517883301
434,160,euclidean,average,spherical,0.12592101097106934
435,320,euclidean,average,spherical,0.11574792861938477
436,640,euclidean,average,spherical,0.27875471115112305
437,1280,euclidean,average,spherical,0.4917948246002197
438,2560,euclidean,average,spherical,0.7489011287689209
439,5120,euclidean,average,spherical,0.6074368953704834
440,10240,euclidean,average,spherical,0.8188662528991699
441,20480,euclidean,average,spherical,1.2106809616088867
442,40960,euclidean,average,spherical,9.78553557395935
443,81920,euclidean,average,spherical,13.121631145477295
444,163840,euclidean,average,spherical,39.99067306518555
445,327680,euclidean,average,spherical,51.08278846740723
446,655360,euclidean,average,spherical,171.82744479179382
447,1310720,euclidean,average,spherical,298.8103086948395
448,40,euclidean,single,full,0.14161920547485352
449,80,euclidean,single,full,0.1466355323791504
450,160,euclidean,single,full,0.21941208839416504
451,320,euclidean,single,full,0.30287623405456543
452,640,euclidean,single,full,0.4049241542816162
453,1280,euclidean,single,full,0.6073770523071289
454,2560,euclidean,single,full,1.1210010051727295
455,5120,euclidean,single,full,1.8703529834747314
456,10240,euclidean,single,full,3.302405834197998
457,20480,euclidean,single,full,6.416242361068726
458,40960,euclidean,single,full,13.375308275222778
459,81920,euclidean,single,full,26.56346869468689
460,163840,euclidean,single,full,56.288567304611206
461,327680,euclidean,single,full,117.88006162643433
462,655360,euclidean,single,full,240.39667415618896
463,1310720,euclidean,single,full,455.52839970588684
464,40,euclidean,single,tied,0.10808515548706055
465,80,euclidean,single,tied,0.10031437873840332
466,160,euclidean,single,tied,0.17844247817993164
467,320,euclidean,single,tied,0.22239017486572266
468,640,euclidean,single,tied,0.34700512886047363
469,1280,euclidean,single,tied,0.5886874198913574
470,2560,euclidean,single,tied,1.1075079441070557
471,5120,euclidean,single,tied,1.8731021881103516
472,10240,euclidean,single,tied,3.4484763145446777
473,20480,euclidean,single,tied,6.616831541061401
474,40960,euclidean,single,tied,13.442003011703491
475,81920,euclidean,single,tied,27.483175039291382
476,163840,euclidean,single,tied,60.15366339683533
477,327680,euclidean,single,tied,107.05253076553345
478,655360,euclidean,single,tied,241.71665978431702
479,1310720,euclidean,single,tied,388.72570276260376
480,40,euclidean,single,diag,0.1101677417755127
481,80,euclidean,single,diag,0.115692138671875
482,160,euclidean,single,diag,0.18067407608032227
483,320,euclidean,single,diag,0.2505226135253906
484,640,euclidean,single,diag,0.35863447189331055
485,1280,euclidean,single,diag,0.5792295932769775
486,2560,euclidean,single,diag,1.1050517559051514
487,5120,euclidean,single,diag,1.8652410507202148
488,10240,euclidean,single,diag,3.4377212524414062
489,20480,euclidean,single,diag,6.632915258407593
490,40960,euclidean,single,diag,13.448150396347046
491,81920,euclidean,single,diag,27.331321954727173
492,163840,euclidean,single,diag,54.22915029525757
493,327680,euclidean,single,diag,120.59091687202454
494,655360,euclidean,single,diag,227.63964295387268
495,1310720,euclidean,single,diag,446.02177810668945
496,40,euclidean,single,spherical,0.10983729362487793
497,80,euclidean,single,spherical,0.12489938735961914
498,160,euclidean,single,spherical,0.17594027519226074
499,320,euclidean,single,spherical,0.25071048736572266
500,640,euclidean,single,spherical,0.38459014892578125
501,1280,euclidean,single,spherical,0.6232635974884033
502,2560,euclidean,single,spherical,1.1141047477722168
503,5120,euclidean,single,spherical,1.8982837200164795
504,10240,euclidean,single,spherical,3.5378851890563965
505,20480,euclidean,single,spherical,6.738280773162842
506,40960,euclidean,single,spherical,13.979310989379883
507,81920,euclidean,single,spherical,27.900294303894043
508,163840,euclidean,single,spherical,58.41485118865967
509,327680,euclidean,single,spherical,116.76807880401611
510,655360,euclidean,single,spherical,238.4787721633911
511,1310720,euclidean,single,spherical,483.1733057498932
512,40,cosine,complete,full,0.040404558181762695
513,80,cosine,complete,full,0.06984448432922363
514,160,cosine,complete,full,0.06813621520996094
515,320,cosine,complete,full,0.07260298728942871
516,640,cosine,complete,full,0.1281425952911377
517,1280,cosine,complete,full,0.2750511169433594
518,2560,cosine,complete,full,0.565885066986084
519,5120,cosine,complete,full,0.6786770820617676
520,10240,cosine,complete,full,0.9511733055114746
521,20480,cosine,complete,full,1.4285304546356201
522,40960,cosine,complete,full,2.805083990097046
523,81920,cosine,complete,full,5.28107213973999
524,163840,cosine,complete,full,14.809222936630249
525,327680,cosine,complete,full,26.2965567111969
526,655360,cosine,complete,full,47.76025652885437
527,1310720,cosine,complete,full,89.293466091156
528,40,cosine,complete,tied,0.04702925682067871
529,80,cosine,complete,tied,0.04288601875305176
530,160,cosine,complete,tied,0.057369232177734375
531,320,cosine,complete,tied,0.07679438591003418
532,640,cosine,complete,tied,0.11021137237548828
533,1280,cosine,complete,tied,0.24746012687683105
534,2560,cosine,complete,tied,0.5044934749603271
535,5120,cosine,complete,tied,0.6089053153991699
